filename,start_date,end_date,date_diff
3000002.nc,2001-01-01,2022-12-31,8034
3000003.nc,2001-01-01,2022-12-31,8034
30000052.nc,2001-01-01,2019-12-31,6938
30000215.nc,2010-04-20,2022-12-31,4638
31000016.nc,2001-01-01,2022-12-31,8034
31000017.nc,2001-01-01,2018-01-03,6211
31000021.nc,2001-01-01,2022-12-31,8034
31000023.nc,2001-01-01,2022-12-31,8034
31000027.nc,2001-01-01,2022-12-31,8034
31000031.nc,2001-01-01,2022-12-31,8034
31000032.nc,2001-01-01,2022-12-31,8034
31000044.nc,2011-02-03,2012-08-26,570
31001108.nc,2016-12-23,2021-12-31,1834
32000001.nc,2001-01-01,2022-12-31,8034
32000002.nc,2016-12-16,2021-12-31,1841
32000004.nc,2001-01-01,2022-12-31,8034
32000013.nc,2001-01-01,2022-12-31,8034
32000018.nc,2011-12-22,2019-01-14,2580
32000019.nc,2018-01-01,2018-12-31,364
32000020.nc,2011-12-21,2019-01-14,2581
32000022.nc,2001-01-01,2022-12-31,8034
32000030.nc,2001-01-01,2009-12-31,3286
33000003.nc,2011-12-29,2022-12-31,4020
33000004.nc,2001-01-01,2022-12-31,8034
33000318.nc,2016-09-16,2022-12-31,2297
34000002.nc,2001-01-01,2022-12-31,8034
34000003.nc,2001-01-01,2022-12-31,8034
34000019.nc,2001-01-01,2022-12-31,8034
34000023.nc,2001-01-01,2022-12-31,8034
34000024.nc,2001-01-01,2019-12-31,6938
34000260.nc,2015-12-14,2017-01-18,401
34000469.nc,2015-12-24,2017-01-17,390
35000006.nc,2001-01-01,2022-12-31,8034
35000008.nc,2016-12-23,2021-12-31,1834
35000010.nc,2001-01-01,2022-12-31,8034
35000013.nc,2001-01-01,2022-12-31,8034
35000018.nc,2001-01-01,2022-12-31,8034
36000008.nc,2001-01-01,2022-12-31,8034
36000009.nc,2001-01-01,2022-12-31,8034
36000012.nc,2001-01-01,2022-12-31,8034
36000015.nc,2001-01-01,2015-12-31,5477
36000016.nc,2006-05-31,2015-12-31,3501
36000018.nc,2001-01-01,2022-12-31,8034
36000061.nc,2016-12-02,2021-12-31,1855
36000192.nc,2016-12-20,2022-12-31,2202
37000011.nc,2001-01-01,2022-12-31,8034
37000034.nc,2001-01-01,2022-12-31,8034
37000038.nc,2001-01-01,2022-12-31,8034
37000039.nc,2001-01-01,2022-12-31,8034
37000249.nc,2014-01-01,2014-12-31,364
37000255.nc,2008-01-01,2013-12-31,2191
37000259.nc,2008-01-01,2013-12-31,2191
37000261.nc,2017-03-01,2019-12-31,1035
38000019.nc,2013-01-01,2013-12-31,364
38000023.nc,2001-01-01,2022-12-31,8034
38000024.nc,2001-01-01,2022-12-31,8034
38000047.nc,2004-03-10,2022-12-31,6870
38000052.nc,2016-01-12,2022-12-31,2545
38000107.nc,2004-05-27,2022-12-31,6792
38000209.nc,2015-01-01,2015-12-31,364
38000221.nc,2015-01-01,2015-12-31,364
38000246.nc,2013-01-01,2013-12-31,364
38000250.nc,2013-01-01,2013-12-31,364
39000001.nc,2001-01-01,2022-12-31,8034
39000002.nc,2001-01-01,2022-12-31,8034
40000001.nc,2001-01-01,2022-12-31,8034
4000002.nc,2001-01-01,2019-02-24,6628
4000005.nc,2001-01-01,2022-12-31,8034
40000165.nc,2016-12-02,2022-12-31,2220
41000012.nc,2001-01-01,2022-12-31,8034
41000014.nc,2001-01-01,2022-12-31,8034
41000016.nc,2001-01-01,2022-12-31,8034
41000020.nc,2001-01-01,2022-12-31,8034
41000024.nc,2001-01-01,2022-12-31,8034
41000124.nc,2016-01-01,2016-12-31,365
41000129.nc,2016-01-01,2016-12-31,365
41000140.nc,2008-01-01,2017-12-31,3652
41000141.nc,2008-01-01,2017-12-31,3652
41000284.nc,2015-01-01,2016-01-07,371
41000391.nc,2016-12-17,2022-12-31,2205
41000695.nc,2015-12-04,2017-01-03,396
42000012.nc,2001-01-01,2022-12-31,8034
42000014.nc,2001-01-01,2022-12-31,8034
42000017.nc,2001-01-01,2022-12-31,8034
42000019.nc,2001-01-01,2022-12-31,8034
42000020.nc,2001-01-01,2022-12-31,8034
42000021.nc,2001-01-01,2022-12-31,8034
42000022.nc,2001-01-01,2022-12-31,8034
42000074.nc,2001-01-01,2022-12-31,8034
42000124.nc,2010-12-16,2017-12-31,2572
42000125.nc,2008-01-01,2017-12-31,3652
42000366.nc,2017-01-01,2022-12-31,2190
42000379.nc,2017-01-01,2022-12-31,2190
42000478.nc,2016-12-13,2021-12-31,1844
42001011.nc,2016-12-22,2022-12-31,2200
43000001.nc,2001-01-01,2022-12-31,8034
43000003.nc,2001-01-01,2022-12-31,8034
43000007.nc,2014-01-01,2022-12-31,3286
43000246.nc,2017-01-01,2021-12-31,1825
43000408.nc,2017-01-01,2022-12-31,2190
43000432.nc,2017-01-01,2022-12-31,2190
44000020.nc,2017-01-01,2021-12-31,1825
44000021.nc,2001-01-01,2022-12-31,8034
44000106.nc,2008-01-01,2012-12-31,1826
44000177.nc,2014-12-16,2016-01-17,397
44000188.nc,2001-01-01,2012-12-31,4382
44000191.nc,2017-01-01,2022-12-31,2190
44000590.nc,2018-01-01,2022-12-31,1825
45000002.nc,2001-01-01,2022-12-31,8034
45000003.nc,2001-01-01,2022-12-31,8034
45000004.nc,2001-01-01,2022-12-31,8034
45000005.nc,2001-01-01,2022-12-31,8034
45000034.nc,2001-01-01,2022-12-31,8034
45000035.nc,2001-01-01,2022-12-31,8034
45000041.nc,2001-01-01,2019-12-31,6938
45000042.nc,2013-01-01,2019-12-31,2555
45000043.nc,2001-01-01,2022-12-31,8034
45000044.nc,2017-01-01,2022-12-31,2190
45000045.nc,2001-01-01,2022-12-31,8034
45000047.nc,2017-01-01,2022-12-31,2190
45000058.nc,2001-01-01,2022-12-31,8034
45000059.nc,2001-01-01,2018-02-18,6257
45000090.nc,2004-12-16,2022-12-31,6589
45000117.nc,2017-01-01,2022-12-31,2190
45000368.nc,2001-01-01,2012-12-31,4382
45000369.nc,2001-01-01,2012-12-31,4382
45000804.nc,2017-01-01,2021-12-31,1825
45001337.nc,2016-11-08,2018-04-19,527
45001404.nc,2016-12-16,2022-12-31,2206
45001412.nc,2017-01-01,2022-12-31,2190
46000001.nc,2001-01-01,2022-12-31,8034
46000017.nc,2001-01-01,2022-12-31,8034
46000018.nc,2001-01-01,2022-12-31,8034
46000019.nc,2001-01-01,2022-12-31,8034
46000020.nc,2001-01-01,2022-12-31,8034
46000030.nc,2001-01-01,2022-12-31,8034
46000174.nc,2001-01-01,2019-12-31,6938
46000608.nc,2017-01-01,2022-12-31,2190
46000641.nc,2017-01-01,2022-12-31,2190
