Id15_v30,hypeid,obsstednr
14100019,360,
14100027,361,
14100034,362,
14100079,363,
14100094,364,
14100098,365,
14100099,366,
14100111,367,30000052.0
14100112,368,
14100547,369,
14100875,370,
15100001,371,
15200001,372,
15300001,373,
15300002,374,
15300050,375,
16100001,376,
16100002,377,
16100003,378,
16100004,379,
16100005,380,
16100006,381,
16100007,382,
16100008,383,
16100009,384,
16100010,385,
16100011,386,
16100012,387,
16100013,388,
16100014,389,
16100015,390,
16100016,391,
16100017,392,
16100018,393,31000016.0
16100019,394,
16100020,395,
16100021,396,
16100022,397,
16100023,398,
16100024,399,
16100026,400,
16100027,401,
16100028,402,
16100029,403,
16100030,404,
16100055,405,
16100066,406,
16100073,407,
16100077,408,
16100078,409,
16100079,410,
16100082,411,
16100111,412,
16100115,413,
16100116,414,
16100141,415,
16100181,416,
16100187,417,
16100188,418,
16100222,419,
16100255,420,
16100277,421,
16100333,422,
16100446,423,35000010.0
16100467,424,
16100479,425,
16100541,426,
16100546,427,
16100555,428,
16100592,429,31000027.0
16100594,430,31000032.0
16100600,431,
16100601,432,
16100602,433,
16100603,434,
16100604,435,
16100644,436,
16100672,437,
16100673,438,
16100685,439,35000018.0
16100686,440,
16100687,441,
16100699,442,
16100700,443,
16100709,444,
16100710,445,
16100711,446,
16100712,447,35000013.0
16100721,448,31000021.0
16100722,449,
16100723,450,
16100733,451,
16100737,452,
16100739,453,
16100741,454,31000017.0
16100754,455,
16100764,456,31000023.0
16100766,457,
16100777,458,
16100787,459,
16100788,460,
16100793,461,
16100800,462,35000008.0
16100801,463,
16100805,464,
16100815,465,
16100842,466,
16100843,467,
16100874,468,31001108.0
16100881,469,
16100888,470,
16100902,471,
16100911,472,
16100928,473,
16100988,474,
16101000,475,
16101072,476,
16101086,477,
16101087,478,
16101090,479,31000031.0
16101111,480,
16101121,481,
16101144,482,
16101188,483,
16101194,484,
16101487,485,
16101546,486,31000044.0
16101603,487,
16101700,488,
16101801,489,
16101881,490,
16101886,491,
16102020,492,
16102200,493,
16106183,494,35000006.0
16200000,495,
16200001,496,
16200002,497,
16200003,498,
16200004,499,
16200005,500,
16200006,501,
16200007,502,
16200008,503,
16200011,504,
16200020,505,
16200024,506,
16200026,507,
16200055,508,38000221.0
16200098,509,
16200122,510,
16200144,511,
16200155,512,38000209.0
16200222,513,
16200225,514,
16200234,515,
16200244,516,38000052.0
16200331,517,
16200334,518,38000107.0
16200355,519,
16200437,520,
16200443,521,36000009.0
16200444,522,38000023.0
16200489,523,
16200500,524,
16200531,525,
16200555,526,
16200557,527,
16200595,528,38000024.0
16200596,529,
16200600,530,36000192.0
16200602,531,
16200607,532,36000008.0
16200612,533,36000061.0
16200622,534,
16200624,535,
16200627,536,
16200633,537,
16200644,538,
16200645,539,
16200648,540,
16200651,541,
16200652,542,
16200657,543,
16200658,544,
16200659,545,
16200666,546,
16200674,547,
16200677,548,
16200680,549,
16200689,550,
16200690,551,36000012.0
16200699,552,
16200752,553,
16200753,554,
16200788,555,
16200789,556,
16200828,557,
16200829,558,
16200837,559,
16200838,560,36000016.0
16200839,561,36000018.0
16200840,562,36000015.0
16200841,563,
16200844,564,
16200854,565,38000047.0
16200872,566,
16200888,567,
16200890,568,
16200896,569,
16200913,570,
16200952,571,
16200999,572,
16201107,573,
16201108,574,38000250.0
16201109,575,
16201112,576,
16201144,577,
16201195,578,
16201199,579,
16201324,580,38000246.0
16201328,581,38000019.0
16201388,582,
16201394,583,
16201448,584,
16201541,585,
16201558,586,
16201587,587,
16201733,588,
16201844,589,
16204875,590,
16300001,591,
16300002,592,
16300003,593,
16300004,594,
16300005,595,
16300012,596,
16300017,597,
16300027,598,
16300044,599,
16300111,600,39000001.0
16300222,601,
16300483,602,39000002.0
16300555,603,
16300723,604,
16300775,605,
16300777,606,
16300874,607,
16510001,608,
16510002,609,
16510003,610,
16510004,611,
16510005,612,
16510006,613,
16510007,614,
16510008,615,
16510009,616,
16510010,617,
16510011,618,
16510012,619,
16510013,620,
16510014,621,
16510015,622,
16510016,623,
16510017,624,
16510018,625,
16510019,626,
16510020,627,
16510021,628,
16510022,629,
16510024,630,
16510025,631,
16510026,632,
16510028,633,
16510029,634,
16510035,635,
16510048,636,
16510088,637,
16510099,638,
16510112,639,
16510115,640,
16510125,641,
16510128,642,
16510194,643,
16510195,644,
16510324,645,
16510335,646,42000478.0
16510336,647,
16510344,648,
16510367,649,
16510407,650,42000379.0
16510419,651,42000021.0
16510421,652,
16510439,653,
16510441,654,
16510446,655,
16510453,656,
16510455,657,
16510456,658,
16510462,659,
16510465,660,42000366.0
16510477,661,
16510478,662,
16510498,663,
16510499,664,42000074.0
16510514,665,
16510543,666,
16510600,667,
16510613,668,
16510619,669,
16510620,670,42000012.0
16510621,671,
16510622,672,
16510623,673,
16510624,674,
16510656,675,
16510665,676,
16510678,677,
16510691,678,
